 
 
 
                              Date/Time: xxxxxxx                      
RKB: 701.01                                       Curve Name: Actual Surveys                   
G.L. or M.S.L.: 697.01                            
 
 
 
                                 MATRRIX ENERGY TECHNOLOGIES INC.                                  
 
 
 
                                   WINSERVE SURVEY CALCULATIONS                                    
                                     Minimum Curvature Method                                      
                                  Vertical Section Plane   226.77                                  
           Vertical Section Referenced to offset from Wellhead: EW =.00  m , NS=.00  m             
                          Rectangular Coordinates Referenced to Wellhead                           
 
 
 
 Measured     Incl       Drift      True      Subsea                           CLOSURE   Vertical    Dogleg   
   Depth      Angle    Direction  Vertical      TVD        N-S        E-W     Distance    Section   Severity  
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Meters     Meters     Deg/30m  
                                                                                                   
        .00        .00        .00        .00     701.01        .00        .00        .00        .00        .00
     127.50        .00        .00     127.50     573.51        .00        .00        .00        .00        .00
     144.72        .40     283.10     144.72     556.29        .01       -.06        .06        .03        .70
     184.73        .40     294.90     184.73     516.28        .10       -.32        .34        .16        .06
     224.75        .60     269.80     224.75     476.26        .16       -.66        .68        .37        .22
                                                                                                   
     264.77        .40     294.20     264.77     436.24        .22       -.99       1.02        .57        .22
     304.80        .50     314.60     304.79     396.22        .40      -1.25       1.31        .64        .14
     344.88        .50     328.20     344.87     356.14        .67      -1.46       1.61        .61        .09
     384.94       1.00     318.20     384.93     316.08       1.08      -1.79       2.09        .56        .39
     425.02        .10     216.00     425.01     276.00       1.31      -2.04       2.43        .59        .77
                                                                                                   
     465.10        .00     103.10     465.09     235.92       1.28      -2.06       2.43        .62        .07
     505.13        .00     283.10     505.12     195.89       1.28      -2.06       2.43        .62        .00
     545.17        .10     308.70     545.16     155.85       1.31      -2.09       2.46        .63        .07
     571.88        .30      53.20     571.87     129.14       1.36      -2.05       2.46        .56        .38
KOP @ 585m                                                                                         
     585.24        .90     280.00     585.23     115.78       1.40      -2.13       2.55        .59       2.53
                                                                                                   
     598.58       4.50     269.10     598.55     102.46       1.41      -2.75       3.09       1.04       8.14
     611.95       8.10     266.50     611.84      89.17       1.35      -4.22       4.43       2.15       8.10
     625.30      10.30     262.40     625.01      76.00       1.13      -6.34       6.44       3.85       5.16
     638.66      12.70     261.20     638.11      62.90        .75      -8.98       9.01       6.03       5.42
     652.02      15.40     259.70     651.06      49.95        .21     -12.17      12.18       8.73       6.12
                                                                                                   
     665.38      18.30     258.20     663.85      37.16       -.54     -15.97      15.98      12.01       6.58
     678.74      21.60     258.10     676.41      24.60      -1.48     -20.43      20.49      15.90       7.41
     692.10      23.80     258.20     688.73      12.28      -2.54     -25.48      25.61      20.30       4.94
     705.46      25.70     259.10     700.86        .15      -3.64     -30.96      31.18      25.05       4.35
     718.81      28.70     258.40     712.74     -11.73      -4.83     -36.95      37.26      30.23       6.78
                                                                                                   
                                                                                                   
                                             PAGE - 1                                              
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
                                                                                                   
 Measured     Incl       Drift      True      Subsea                           CLOSURE   Vertical    Dogleg   
   Depth      Angle    Direction  Vertical      TVD        N-S        E-W     Distance    Section   Severity  
  Meters       Deg        Deg       Depth     Meters     Meters     Meters     Meters     Meters     Deg/30m  
                                                                                                   
     732.15      32.70     259.60     724.20     -23.19      -6.12     -43.63      44.06      35.98       9.10
Start Turn @ 746m                                                                                  
     745.50      35.30     257.80     735.27     -34.26      -7.59     -50.95      51.51      42.32       6.26
     758.85      37.70     253.90     746.00     -44.99      -9.54     -58.64      59.41      49.26       7.50
     772.21      40.30     250.10     756.39     -55.38     -12.14     -66.63      67.73      56.87       7.93
     785.57      41.60     248.80     766.48     -65.47     -15.22     -74.83      76.36      64.94       3.49
                                                                                                   
     798.92      42.40     249.00     776.40     -75.39     -18.43     -83.17      85.18      73.22       1.82
     812.27      45.00     249.20     786.05     -85.04     -21.72     -91.78      94.32      81.75       5.85
     825.64      47.20     247.80     795.32     -94.31     -25.25    -100.74     103.86      90.70       5.43
     839.01      49.70     244.60     804.19    -103.18     -29.29    -109.89     113.73     100.13       7.77
     852.37      52.80     242.70     812.55    -111.54     -33.92    -119.23     123.96     110.10       7.71
                                                                                                   
     865.72      55.50     240.80     820.37    -119.36     -39.05    -128.76     134.55     120.56       6.98
     879.07      57.80     238.00     827.71    -126.70     -44.72    -138.35     145.40     131.44       7.37
     892.41      60.50     235.80     834.55    -133.54     -50.98    -147.94     156.48     142.71       7.41
     905.77      62.80     233.50     840.89    -139.88     -57.78    -157.53     167.79     154.35       6.88
     919.12      65.10     230.30     846.76    -145.75     -65.18    -166.96     179.23     166.30       8.27
                                                                                                   
     932.47      68.80     227.70     851.98    -150.97     -73.24    -176.23     190.84     178.57       9.90
     945.82      72.40     226.60     856.42    -155.41     -81.81    -185.46     202.70     191.16       8.42
